pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.578947368421053	0.78240850996269	0.0721797965581253	0.411620947839768	0.925573214045401	12	Vwf,Rap1b,Apbb1ip
REACTOME_PROTEIN_HYDROXYLATION	0.533596837944664	0.760099788232781	0.0751181635276301	-0.37486739900918	-0.925294262610374	18	Rwdd1,Rpl8,Rps23,Rps6
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION	0.543824701195219	0.768551036592274	0.0745500777420554	-0.395850393357532	-0.924943897249	14	Ppp2r1a,Lmna,Sirt2
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	0.573385518590998	0.778489116517286	0.0709609456938284	0.342681439037045	0.922829492898917	27	Kmt2d,Paxip1,H3c15,Ash2l,H2bc21,Gps2
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING	0.529058116232465	0.757213569962574	0.0762797180809272	-0.348666072065687	-0.922775352731583	25	Ppp2r1a,Uba52,Mapk3,Ptpn11,Grb2,Fgf7,Ubb,Fgf1
REACTOME_FORMATION_OF_THE_EMBRYONIC_STEM_CELL_BAF_ESBAF_COMPLEX	0.526838966202783	0.757213569962574	0.0760837160951725	-0.380496151477617	-0.922064710018074	17	Actb,Bcl7c
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.537142857142857	0.761314929854043	0.0728938564822936	-0.430670773720643	-0.921147593651866	10	Notch1,Uba52
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	0.545271629778672	0.768551036592274	0.0749278818393739	-0.366269623727868	-0.920988820848411	20	Blm,Kat5,Xrcc3,Palb2
REACTOME_REGULATION_OF_TP53_ACTIVITY	0.554702495201535	0.773560248123991	0.0716527366829457	-0.264110879971089	-0.92078986824062	143	Sgk1,Phf20,Csnk2a2,Ppp2r1a,Uba52,Trp53bp2,Usp2,Blm,Mtor,Mlst8,Ppp1r13b,Kat5,Taf9,Brd7,Prr5,Cdk5r1,Rnf34
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	0.528301886792453	0.757213569962574	0.0787113806986485	-0.28791307652804	-0.917753733210929	81	Tubb3,Tubb4a,Tuba1a,Tuba1b,Ppp2r1a,Tubb2a,Mapk3,Npm1,Tuba1c,Faap20,Faap24
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	0.636363636363636	0.827549808681884	0.0673623868166279	0.251788350429933	0.916571504859757	132	Sox9,Kmt2d,Sox13,Ep300,Trrap,Sox17,Axin2,Xpo1,Bcl9,Wnt5a,Fzd6,Lrp6,Bcl9l,Leo1,Dvl2,Men1,Ash2l,Sox4,Lef1,Rspo1,Hecw1,Fzd8,Smurf2,Psmc6,Ppp2r5a,Apc,Ppp2r1b,Cul3,Fzd5
