ID	geneSymbol	splicing_event_type	IncLevelDifference	FDR	sig	neglog10fdr	label
33677	Gm16794	A5SS	0.774	1.02558747328001e-07	n.s.	6.98902729234807	NA
34555	Erg28	A5SS	-0.401	0.566627379497207	n.s.	0.246702444151501	NA
34934	Cirbp	A5SS	0.291	0.517461352378997	n.s.	0.286122080799188	NA
35885	Hip1r	A5SS	-0.345	0.204997185717866	n.s.	0.688252101069079	NA
35886	Hip1r	A5SS	-0.334	0.226592186015585	n.s.	0.644755070769293	NA
36448	Zfp207	A5SS	0.089	0.854452446975087	n.s.	0.0683121021544583	NA
36991	Atp5pd	A5SS	-0.667	0.764322591666594	n.s.	0.116723303451614	NA
37484	Zmym5	A5SS	0.21	0.924479444296428	n.s.	0.0341027408897516	NA
37651	Map1a	A5SS	-0.666	0.302411103429992	n.s.	0.519402267172655	NA
37652	Map1a	A5SS	-0.502	0.0201710394175815	n.s.	1.69527172193155	NA
38463	Exosc4	A5SS	0.402	0.317149023052684	n.s.	0.498736622067185	NA
39081	Mark2	A5SS	-0.31	0.402601639889022	n.s.	0.395124460462509	NA
40120	Ift140	A5SS	-0.578	0.241891164322125	n.s.	0.616379995037158	NA
1260	Pdia5	A3SS	-0.491	0.679913960325242	n.s.	0.167546041588097	NA
1487	C230037L18Rik	A3SS	0.528	0.865561211609077	n.s.	0.0627022138382276	NA
2670	Zfas1	A3SS	0.448	0.901502507273229	n.s.	0.0450330610731226	NA
2786	Xlr	A3SS	-0.56	0.000139981693931822	n.s.	3.85392875535188	NA
2965	Espn	A3SS	0.582	0.00120576075609789	Up in Saline	2.91873885522559	NA
3610	Gm3764	A3SS	-0.501	0.542766919271629	n.s.	0.265386629721946	NA
4651	Ccdc163	A3SS	0.502	0.901502507273229	n.s.	0.0450330610731226	NA
4870	C030004G16Rik	A3SS	-0.466	0.0659565054937722	n.s.	1.18074236219936	NA
5427	4930447M23Rik	A3SS	0.394	0.00751727688150846	Up in Saline	2.12393945322647	NA
5553	Rsrp1	A3SS	0.322	0.000115444090525155	Up in Saline	3.93762829330551	NA
5976	2610316D01Rik	A3SS	0.57	0.35263284683034	n.s.	0.452677236753767	NA
7002	Brca2	A3SS	-0.559	0.141500377420622	n.s.	0.84924240175471	NA
7804	9930012K11Rik	A3SS	0.798	3.09401700989124e-05	n.s.	4.5094773030214	NA
8679	Gm16938	A3SS	-0.583	0.708208622332874	n.s.	0.149838790076082	NA
10992	Rmst	A3SS	0.418	0.306350819944822	n.s.	0.513780952945753	NA
13876	Cdk16	A3SS	0.364	0.901502507273229	n.s.	0.0450330610731226	NA
15333	Thoc1	A3SS	0.274	0.0211149281267586	n.s.	1.67541039253437	NA
16024	Adamts10	A3SS	0.6	0.258359867236722	n.s.	0.587774947299555	NA
18304	Dnaja1	A3SS	0.262	0.655621206872447	n.s.	0.183347007086399	NA
18469	Trappc14	A3SS	-0.397	0.00421382801374452	Up in TMAO	2.37532319397851	NA
18560	Arhgap33	A3SS	0.319	0.198825080758076	n.s.	0.701528832474957	NA
18561	Arhgap33	A3SS	0.511	0.3395065177776	n.s.	0.469151883805646	NA
19733	Mfn1	A3SS	-0.566	0.469446866623578	n.s.	0.328413555342522	NA
19893	Galnt7	A3SS	0.31	0.679913960325242	n.s.	0.167546041588097	NA
19993	Slco1c1	A3SS	-0.504	0.756950513936153	n.s.	0.120932511816908	NA
