p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.57684702047218	0.314	0.056	0	Oligodendrocyte_lineage	Chn2
0	1.88368774635615	0.356	0.102	0	Oligodendrocyte_lineage	Gas7
0	2.36101341571693	0.322	0.069	0	Oligodendrocyte_lineage	Tpst1
0	1.90505167910403	0.344	0.091	0	Oligodendrocyte_lineage	Smad7
0	2.68126268370593	0.321	0.069	0	Oligodendrocyte_lineage	Nfasc
0	3.11665199805088	0.307	0.055	0	Oligodendrocyte_lineage	Hcn2
0	2.09694331599644	0.331	0.08	0	Oligodendrocyte_lineage	Pip4k2a
0	1.27504266465181	0.911	0.66	0	Oligodendrocyte_lineage	Lamp1
0	2.15841400134359	0.333	0.085	0	Oligodendrocyte_lineage	Inpp5f
0	2.3827963117364	0.308	0.061	0	Oligodendrocyte_lineage	Spg20
0	2.30003052700655	0.318	0.072	0	Oligodendrocyte_lineage	Enoph1
0	1.87069279869565	0.343	0.098	0	Oligodendrocyte_lineage	Glod4
0	3.33943929857134	0.273	0.033	0	Oligodendrocyte_lineage	Dusp15
0	2.99922462692624	0.28	0.041	0	Oligodendrocyte_lineage	Plcl1
0	2.99960696047688	0.285	0.046	0	Oligodendrocyte_lineage	Arhgap23
0	2.52183611804301	0.295	0.057	0	Oligodendrocyte_lineage	Serinc5
0	3.01971505178118	0.939	0.701	0	Oligodendrocyte_lineage	Mbp
0	2.0234749333016	0.321	0.09	0	Oligodendrocyte_lineage	Eml2
0	0.880986088721521	0.801	0.571	0	Oligodendrocyte_lineage	Mpc1
0	2.23386214907961	0.294	0.067	0	Oligodendrocyte_lineage	Itpk1
0	2.75939823794883	0.267	0.044	0	Oligodendrocyte_lineage	Ypel2
0	2.17218022660279	0.296	0.073	0	Oligodendrocyte_lineage	Rcbtb1
0	2.49458623382427	0.264	0.043	0	Oligodendrocyte_lineage	Ppfibp2
0	0.981453163951159	0.93	0.722	0	Oligodendrocyte_lineage	Prdx1
0	0.999677065116135	0.94	0.745	0	Oligodendrocyte_lineage	Selk
0	0.697766106194919	0.915	0.73	0	Oligodendrocyte_lineage	Hsp90ab1
0	0.718781631515049	0.875	0.691	0	Oligodendrocyte_lineage	Ywhae
0	1.39378200990935	0.946	0.771	0	Oligodendrocyte_lineage	Ptma
0	0.934988243190623	0.909	0.766	0	Oligodendrocyte_lineage	Gpx4
0	0.682520003658625	0.922	0.787	0	Oligodendrocyte_lineage	Cfl1
0	0.828326133590845	0.978	0.87	0	Oligodendrocyte_lineage	Actb
0	0.655778111435845	0.967	0.915	0	Oligodendrocyte_lineage	Eif1
0	2.62890519032916	0.989	0.985	0	Oligodendrocyte_lineage	Fth1
1.34335579924881e-307	1.31710168868216	0.511	0.226	1.97459868931582e-303	Oligodendrocyte_lineage	Snapin
1.41327183830461e-307	1.8400731794823	0.341	0.101	2.07736827512394e-303	Oligodendrocyte_lineage	Hdac11
3.54619517168267e-306	2.00607286980339	0.314	0.084	5.21255228285636e-302	Oligodendrocyte_lineage	Trp53bp2
7.03004891998574e-304	1.6710843382014	0.377	0.127	1.0333468907487e-299	Oligodendrocyte_lineage	Urm1
1.23477293204415e-303	2.12899925762978	0.3	0.078	1.8149927328117e-299	Oligodendrocyte_lineage	Endod1
4.40039170243361e-303	2.32506934014951	0.255	0.051	6.46813576340716e-299	Oligodendrocyte_lineage	Arrdc3
5.9853795386909e-301	1.78548697600329	0.335	0.098	8.79790938392175e-297	Oligodendrocyte_lineage	Grhpr
