motif	TF_name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
MA0518.2_Stat4	Stat4	1.5225148480707	0.422068318810464	2.09403777213481	0.0306773455245524	0.0426693987750593
MA1624.2_Stat5a	Stat5a	1.15996394460733	0.271403019864764	1.53619474620309	0.232796733628665	0.267803761241998
MA0519.2_Stat5a::Stat5b	Stat5a::Stat5b	1.17425982693107	0.601842020606355	1.49342327679095	0.218755480498064	0.255493042108426
MA1625.2_Stat5b	Stat5b	1.54637249121988	0.778743359324298	1.89875772401993	0.0259852703097399	0.0368124662721315
MA0520.2_Stat6	Stat6	0.995427253258331	0.424857614980157	1.3048280074154	0.429350838710087	0.469219130876024
MA1567.3_Tbx6	Tbx6	0.724277482234888	0.219144367960244	0.98898479857675	0.790123597507216	0.80592606945736
MA0521.3_Tcf12	Tcf12	6.3199717768704	2.12282598779456	7.57174893449764	6.66031131224598e-49	7.83867408287411e-48
MA0832.2_Tcf21	Tcf21	3.08299950953138	1.06177875506004	4.03810965693875	1.80212613751524e-10	5.30240959691983e-10
MA0633.3_Twist2	Twist2	6.3199717768704	2.12282598779456	7.57174893449764	6.66031131224598e-49	7.83867408287411e-48
MA0693.4_Vdr	Vdr	1.23094576701369	0.194309971170473	1.691778805444	0.168504600984073	0.201415655863775
MA1627.2_Wt1	Wt1	5.08756543393475	2.10671473150996	6.55182667636139	5.85444155556293e-31	5.26899740000664e-30
MA0095.4_Yy1	Yy1	4.46011944450306	2.22145192951166	5.31340451518744	2.2249788667524e-23	1.70210883306559e-22
MA2002.2_Zfp335	Zfp335	1.89444866178969	0.708301025143153	2.35550670047036	0.00147044136117231	0.00236818450799329
MA0146.3_Zfx	Zfx	3.18566760210642	1.6072965136684	4.02340945075188	2.96647097470841e-11	9.45562623188306e-11
MA1628.2_Zic1::Zic2	Zic1::Zic2	4.32501469134947	2.18188177030782	5.31465688503366	6.93782042598979e-22	4.61515880511495e-21
MA1629.2_Zic2	Zic2	4.39658564850073	1.61352146932645	5.9373676869991	1.13751772665473e-22	8.28762915134157e-22
MA0697.3_Zic3	Zic3	4.32501469134947	2.18188177030782	5.31465688503366	6.93782042598979e-22	4.61515880511495e-21
